dataset,chunk_id,compression_ratio,model,timestamp
enwik8,0,0.9439669725784091,random_baseline,1752924127.5829802
enwik8,1,0.9786036383811587,random_baseline,1752924127.588165
enwik8,2,0.849006184820701,random_baseline,1752924127.592059
enwik8,3,0.9120698148708011,random_baseline,1752924127.5955908
enwik8,4,0.8533713325503206,random_baseline,1752924127.5988858
enwik8,5,0.8058829938007939,random_baseline,1752924127.601514
enwik8,6,0.6848328095001665,random_baseline,1752924127.603982
enwik8,7,0.7414836751298803,random_baseline,1752924127.6065018
enwik8,8,0.7052788880339349,random_baseline,1752924127.60874
enwik8,9,0.7738744767753056,random_baseline,1752924127.610971
enwik8,10,0.76364405105171,random_baseline,1752924127.613062
enwik8,11,0.7215406122503765,random_baseline,1752924127.615084
enwik8,12,0.659722368059863,random_baseline,1752924127.6168551
enwik8,13,0.6230929711897436,random_baseline,1752924127.618538
enwik8,14,0.6968156705947102,random_baseline,1752924127.6203258
enwik8,15,0.6872905009364633,random_baseline,1752924127.6220968
enwik8,16,0.7060923945863109,random_baseline,1752924127.623758
enwik8,17,0.7250666274155692,random_baseline,1752924127.6253812
enwik8,18,0.7847808319485394,random_baseline,1752924127.6270158
enwik8,19,0.8176945912683591,random_baseline,1752924127.628662
enwik8,20,0.6831244478014074,random_baseline,1752924127.6301818
enwik8,21,0.7638697961110719,random_baseline,1752924127.6317198
enwik8,22,0.6730392094134191,random_baseline,1752924127.633132
enwik8,23,0.6486315935602881,random_baseline,1752924127.6345
enwik8,24,0.7963960387696379,random_baseline,1752924127.636056
enwik8,25,0.7597503087083493,random_baseline,1752924127.6375418
enwik8,26,0.8559981948912999,random_baseline,1752924127.63902
enwik8,27,0.7769877423355877,random_baseline,1752924127.640379
enwik8,28,0.7625790657681093,random_baseline,1752924127.641732
enwik8,29,1.0331339819966876,random_baseline,1752924127.643303
enwik8,30,0.9747476874568342,random_baseline,1752924127.644863
enwik8,31,1.1319546517651666,random_baseline,1752924127.646524
enwik8,32,0.9306218854267617,random_baseline,1752924127.6479628
enwik8,33,0.8710088853316018,random_baseline,1752924127.64935
enwik8,34,0.5900358972665775,random_baseline,1752924127.6504672
enwik8,35,0.7023635299558287,random_baseline,1752924127.6516721
enwik8,36,0.6358595330874163,random_baseline,1752924127.652808
enwik8,37,0.6267670093877057,random_baseline,1752924127.653934
enwik8,38,0.5784490392767059,random_baseline,1752924127.655045
enwik8,39,0.6471469010512808,random_baseline,1752924127.6562612
enwik8,40,0.6075902573681478,random_baseline,1752924127.657356
enwik8,41,0.5913261646858066,random_baseline,1752924127.658454
enwik8,42,0.5896566192269539,random_baseline,1752924127.65957
enwik8,43,0.6322247436971938,random_baseline,1752924127.660675
enwik8,44,0.6534382451883624,random_baseline,1752924127.661843
enwik8,45,0.6958229253028387,random_baseline,1752924127.6629918
enwik8,46,0.5867465951654016,random_baseline,1752924127.6641002
enwik8,47,0.6440481873859724,random_baseline,1752924127.665272
enwik8,48,0.6024279915251938,random_baseline,1752924127.666346
enwik8,49,0.6607721130085737,random_baseline,1752924127.667491
enwik8,50,0.6228035761911321,random_baseline,1752924127.6685781
enwik8,51,0.659088042714742,random_baseline,1752924127.669726
enwik8,52,0.6050546656505189,random_baseline,1752924127.670785
enwik8,53,0.9036903929876379,random_baseline,1752924127.672122
enwik8,54,1.0171793464312329,random_baseline,1752924127.673541
enwik8,55,1.002011041586118,random_baseline,1752924127.674939
enwik8,56,0.8402039345352978,random_baseline,1752924127.676262
enwik8,57,1.0222112178449732,random_baseline,1752924127.6778119
enwik8,58,0.9873151399063794,random_baseline,1752924127.679522
enwik8,59,0.8690366617627978,random_baseline,1752924127.68088
enwik8,60,0.6910185348290189,random_baseline,1752924127.6820211
enwik8,61,0.6556111293548194,random_baseline,1752924127.6831832
enwik8,62,0.7312200553861123,random_baseline,1752924127.684535
enwik8,63,1.0669543416797331,random_baseline,1752924127.686029
enwik8,64,1.0394572396376995,random_baseline,1752924127.687531
enwik8,65,0.7027916327721881,random_baseline,1752924127.688784
enwik8,66,0.7824803030136277,random_baseline,1752924127.69007
enwik8,67,0.7096137834451364,random_baseline,1752924127.691343
enwik8,68,0.8299173710196897,random_baseline,1752924127.6926248
enwik8,69,1.2167813640475746,random_baseline,1752924127.694272
enwik8,70,1.0101722174085999,random_baseline,1752924127.6957
enwik8,71,0.9792958385722736,random_baseline,1752924127.6971068
enwik8,72,0.9804535884804199,random_baseline,1752924127.698547
enwik8,73,0.9396782594282076,random_baseline,1752924127.6999218
enwik8,74,0.9625782720224891,random_baseline,1752924127.701365
enwik8,75,0.9317943103160965,random_baseline,1752924127.702788
enwik8,76,1.001129798860332,random_baseline,1752924127.704235
enwik8,77,0.961926595980707,random_baseline,1752924127.705604
enwik8,78,0.9665940321584289,random_baseline,1752924127.7069519
enwik8,79,0.9830924334200322,random_baseline,1752924127.708323
enwik8,80,1.02130326387833,random_baseline,1752924127.7097049
enwik8,81,0.8199918690965151,random_baseline,1752924127.710913
enwik8,82,0.9707283031505822,random_baseline,1752924127.7123048
enwik8,83,0.8692620379431305,random_baseline,1752924127.713588
enwik8,84,0.8709599214720073,random_baseline,1752924127.714889
enwik8,85,1.2064444513021648,random_baseline,1752924127.716507
enwik8,86,0.9718836922308435,random_baseline,1752924127.7179809
enwik8,87,0.9739355743637474,random_baseline,1752924127.719685
enwik8,88,0.9645171234627568,random_baseline,1752924127.721339
enwik8,89,0.6931091042569145,random_baseline,1752924127.722684
enwik8,90,0.6147775418960856,random_baseline,1752924127.724117
enwik8,91,0.700760063394117,random_baseline,1752924127.7255309
enwik8,92,0.7733907807052902,random_baseline,1752924127.726924
enwik8,93,1.2068129805697128,random_baseline,1752924127.7285151
enwik8,94,0.9851579610633258,random_baseline,1752924127.730059
enwik8,95,0.9029418070511496,random_baseline,1752924127.731499
enwik8,96,0.9065218169539415,random_baseline,1752924127.732981
enwik8,97,1.2938698634938584,random_baseline,1752924127.734826
enwik8,98,1.1238129860199522,random_baseline,1752924127.736514
enwik8,99,0.8026242881786674,random_baseline,1752924127.737877
enwik8,100,0.8634499542881551,random_baseline,1752924127.7393432
enwik8,101,0.8180944793704297,random_baseline,1752924127.740764
enwik8,102,0.7255936621290802,random_baseline,1752924127.7420712
enwik8,103,0.7735971691503456,random_baseline,1752924127.743487
enwik8,104,0.7739974875995907,random_baseline,1752924127.744871
enwik8,105,0.8426020241165264,random_baseline,1752924127.74679
enwik8,106,1.0373240578836533,random_baseline,1752924127.749624
enwik8,107,1.0786847443350516,random_baseline,1752924127.751324
enwik8,108,1.1878446923477715,random_baseline,1752924127.753047
enwik8,109,0.6824311203028552,random_baseline,1752924127.754304
enwik8,110,0.5979209640139922,random_baseline,1752924127.7556028
enwik8,111,0.655540052997165,random_baseline,1752924127.756895
enwik8,112,0.6545867592031485,random_baseline,1752924127.7581341
enwik8,113,0.6562923380306678,random_baseline,1752924127.759383
enwik8,114,0.6808936887376881,random_baseline,1752924127.7606242
enwik8,115,0.7216578998427432,random_baseline,1752924127.761861
enwik8,116,0.6940464484962068,random_baseline,1752924127.763135
enwik8,117,0.6273895672961443,random_baseline,1752924127.764395
enwik8,118,0.6221917414810618,random_baseline,1752924127.765741
enwik8,119,0.726288120010495,random_baseline,1752924127.767017
enwik8,120,0.6676626939581298,random_baseline,1752924127.7682061
enwik8,121,0.6481187363646526,random_baseline,1752924127.769394
enwik8,122,0.6366604227997806,random_baseline,1752924127.770518
enwik8,123,0.6373632285332469,random_baseline,1752924127.77169
enwik8,124,0.6202061327481597,random_baseline,1752924127.772825
enwik8,125,0.6862888384499444,random_baseline,1752924127.7740061
enwik8,126,0.6393651035204382,random_baseline,1752924127.775142
enwik8,127,0.6662245299646556,random_baseline,1752924127.776337
enwik8,128,0.7200104929854968,random_baseline,1752924127.777573
enwik8,129,0.66771413241617,random_baseline,1752924127.778763
enwik8,130,0.6513473091575658,random_baseline,1752924127.779916
enwik8,131,0.6786959169212874,random_baseline,1752924127.781125
enwik8,132,0.6280123329652898,random_baseline,1752924127.7822762
enwik8,133,0.6285857535904961,random_baseline,1752924127.78339
enwik8,134,0.6993377168892418,random_baseline,1752924127.784626
enwik8,135,0.7090066163145525,random_baseline,1752924127.785843
enwik8,136,0.7383838576975869,random_baseline,1752924127.7871091
enwik8,137,0.9284430213095681,random_baseline,1752924127.7885911
enwik8,138,0.7424952744819998,random_baseline,1752924127.789857
enwik8,139,0.7271275213871029,random_baseline,1752924127.791112
enwik8,140,0.842590643328407,random_baseline,1752924127.792523
enwik8,141,0.791926164610043,random_baseline,1752924127.793925
enwik8,142,0.8523256173726987,random_baseline,1752924127.7953138
