model,checkpoint,dataset,compression_ratio,compression_std,chunks_processed,eval_time_minutes,timestamp
pythia-70m,step1000,enwik8,0.2225062050200147,0.0404938053827582,2048,1.1985026081403096,1751877763.4279122
pythia-70m,step1000,imagenet,0.6012871521226942,0.09189195035932686,2048,1.854698610305786,1751877874.7109613
pythia-70m,step1000,librispeech,0.6945397666280869,0.04179166514838067,2048,1.8728578488032024,1751877987.0839403
pythia-70m,step8000,enwik8,0.17617424076806865,0.03515745134988375,2048,1.2994617501894632,1751878065.8077261
pythia-70m,step8000,imagenet,0.49890651222615334,0.10960611215659948,2043,1.9536036411921183,1751878183.0250711
pythia-70m,step8000,librispeech,0.46026195447302515,0.11428239802359615,2048,1.9661459803581238,1751878301.0042667
pythia-70m,step32000,enwik8,0.16962482087607225,0.03334722445377585,2048,1.3055498520533244,1751878380.0909755
pythia-70m,step32000,imagenet,0.49235075881950524,0.10358088927948408,2045,1.9630149483680726,1751878497.8729484
pythia-70m,step32000,librispeech,0.43910303883864893,0.10331785818007193,2048,1.9812026500701905,1751878616.7461667
pythia-70m,step128000,enwik8,0.17253574795711424,0.03467043085156037,2048,1.3252668658892313,1751878697.0915256
pythia-70m,step128000,imagenet,0.5047335004072547,0.10588557419575378,2031,1.983383878072103,1751878816.0968797
pythia-70m,step128000,librispeech,0.47458834398452043,0.1175396430832421,2048,1.9928207357724508,1751878935.6671782
pythia-70m,step143000,enwik8,0.17495391644262626,0.03530707205925731,2048,1.329115378856659,1751879016.1791942
pythia-70m,step143000,imagenet,0.5132798431414615,0.10690484828601829,2032,1.9804229776064555,1751879135.0056455
pythia-70m,step143000,librispeech,0.46562166266280924,0.12428387765970543,2048,1.9931422233581544,1751879254.5952828
pythia-160m,step1000,enwik8,0.21763228164427573,0.04065061656932736,2048,1.4704416910807292,1751879345.674985
pythia-160m,step1000,imagenet,0.6145714139316028,0.08874364058476387,2048,2.1426546891530354,1751879474.2353365
pythia-160m,step1000,librispeech,0.6778850055578146,0.02769979919312967,2048,2.15666827360789,1751879603.6365328
pythia-160m,step8000,enwik8,0.15858861042125189,0.03239875563909584,2048,1.6951224088668824,1751879706.1275396
pythia-160m,step8000,imagenet,0.4826909683953384,0.10814711020218375,2048,2.3381019671758017,1751879846.4147894
pythia-160m,step8000,librispeech,0.44022094636312614,0.11535105468050097,2048,2.348288067181905,1751879987.3147943
pythia-160m,step32000,enwik8,0.14915654058582029,0.030119007270588624,2048,1.714512252807617,1751880091.000119
pythia-160m,step32000,imagenet,0.4714102026849596,0.10880278158500545,2044,2.35561736424764,1751880232.338339
pythia-160m,step32000,librispeech,0.4300012450482448,0.10944392033538879,2048,2.3729318221410116,1751880374.7154012
pythia-160m,step128000,enwik8,0.1489378928903196,0.030881450750053326,2048,1.7351076483726502,1751880479.6529129
pythia-160m,step128000,imagenet,0.48186135473650443,0.10688698074038643,2032,2.3942979335784913,1751880623.3133557
pythia-160m,step128000,librispeech,0.43295205935971776,0.119703718957329,2048,2.4122152805328367,1751880768.0473456
pythia-160m,step143000,enwik8,0.15015021682422935,0.03200795360329043,2048,1.7300381580988566,1751880872.6427593
pythia-160m,step143000,imagenet,0.49185017028128036,0.10930893449903889,2045,2.3737762848536175,1751881015.0704513
pythia-160m,step143000,librispeech,0.4555168414230981,0.11905667676732687,2048,2.392447364330292,1751881158.6183395
pythia-410m,step1000,enwik8,0.22335127005907224,0.04108952259876936,2048,1.995323077837626,1751881281.7919936
pythia-410m,step1000,imagenet,0.667546977171935,0.09500931163901914,2048,2.668039866288503,1751881441.8757656
pythia-410m,step1000,librispeech,0.7704681007927303,0.0709361172863035,2048,2.682419482866923,1751881602.8220544
